step,AvgRoutedR,AvgR,AvgRouted%,ActorLoss,BaselineLoss
0,1114.9875897129186,6373.1103515625,40.8203125,-30421.234375,59688488.0
1,1114.122159090909,5800.0341796875,47.265625,-27371.529296875,53320408.0
2,1114.999248281787,4950.126953125,56.8359375,-23730.58984375,43868768.0
3,1115.7284902597403,4655.5556640625,60.15625,-21236.53125,40589516.0
4,1110.8868470149255,4183.880859375,65.4296875,-18225.8203125,35373988.0
5,1114.2321958456973,4151.3603515625,65.8203125,-17929.947265625,34992620.0
6,1112.058988764045,3820.103515625,69.53125,-14910.873046875,31324044.0
7,1113.2730795148248,3560.59423828125,72.4609375,-12907.9638671875,28432298.0
8,1106.1284025787966,3937.57568359375,68.1640625,-15136.625,32663034.0
9,1110.1774611398964,3297.907470703125,75.390625,-11092.6953125,25532634.0
10,1113.0993529040404,3126.537841796875,77.34375,-10814.27734375,23608444.0
11,1106.8561870277078,3104.33984375,77.5390625,-10118.375,23404120.0
12,1110.3972880299252,3037.63525390625,78.3203125,-8891.896484375,22638268.0
13,1107.6771622474748,3122.34423828125,77.34375,-9745.9228515625,23597252.0
14,1110.8643518518518,2968.5546875,79.1015625,-8980.57421875,21866712.0
15,1107.444237012987,3313.214599609375,75.1953125,-10771.498046875,25717102.0
16,1108.3556547619048,2706.0732421875,82.03125,-7779.67626953125,18968446.0
17,1108.3560606060605,3122.869384765625,77.34375,-8806.650390625,23596430.0
18,1105.2873673349056,2634.06591796875,82.8125,-7410.02880859375,18190704.0
19,1109.8394290123456,2967.743896484375,79.1015625,-7547.5048828125,21862392.0
20,1110.7109567901234,2968.433837890625,79.1015625,-7442.13525390625,21863736.0
21,1109.172734375,3054.041015625,78.125,-7666.3330078125,22824506.0
22,1110.416207107843,2916.113037109375,79.6875,-7051.69677734375,21283784.0
23,1107.9331007281553,2844.6650390625,80.46875,-7307.17578125,20507642.0
24,1107.6833432304038,2688.15380859375,82.2265625,-6753.57177734375,18771282.0
25,1108.4477600250627,3070.84130859375,77.9296875,-7454.7802734375,23014344.0
26,1106.4090050377833,3103.99267578125,77.5390625,-7846.85302734375,23396352.0
27,1111.2206790123457,2968.83642578125,79.1015625,-6500.0361328125,21861564.0
28,1109.514294403893,2863.30126953125,80.2734375,-7105.1123046875,20701372.0
29,1107.4301957831326,2792.1552734375,81.0546875,-6676.232421875,19925858.0
30,1107.4695945945946,2931.13330078125,79.4921875,-7371.7412109375,21468118.0
31,1105.7496827411167,3155.5966796875,76.953125,-8038.02392578125,23971408.0
32,1112.4688988095238,2709.447265625,82.03125,-6470.7431640625,18970016.0
33,1107.9610877403845,2775.218017578125,81.25,-6524.67041015625,19732684.0
34,1109.0333924349882,2654.533203125,82.6171875,-6232.79638671875,18384792.0
35,1106.879618226601,2948.033203125,79.296875,-6524.1171875,21658216.0
36,1106.3758508663366,2982.37451171875,78.90625,-6183.52490234375,22042754.0
37,1104.8448822463768,2807.433349609375,80.859375,-6186.1572265625,20111612.0
38,1109.0633204057278,2724.0185546875,81.8359375,-6093.63427734375,19154756.0
39,1106.6234939759036,2791.501220703125,81.0546875,-5747.724609375,19921574.0
40,1109.7704355608591,2724.59716796875,81.8359375,-5259.7197265625,19155630.0
41,1107.9248408564815,2497.3115234375,84.375,-4926.0009765625,16645725.0
42,1109.6073600973236,2863.376220703125,80.2734375,-5991.666015625,20697096.0
43,1107.2742972488038,2739.92333984375,81.640625,-5663.7490234375,19343254.0
44,1106.185688405797,2808.51708984375,80.859375,-5619.34228515625,20112036.0
45,1106.1060267857142,2704.22802734375,82.03125,-5274.87255859375,18954804.0
46,1108.3258605072465,2810.248046875,80.859375,-6433.1533203125,20115452.0
47,1106.0492168304668,2930.00390625,79.4921875,-6131.27880859375,21460600.0
48,1107.1573452102805,2566.139404296875,83.59375,-5174.439453125,17413788.0
49,1105.849791169451,2721.388671875,81.8359375,-5094.08984375,19146232.0
50,1103.7832589285715,2702.32177734375,82.03125,-5943.9443359375,18949508.0
51,1108.6237922705313,2810.488525390625,80.859375,-5294.1728515625,20114590.0
52,1105.0850949754902,2911.864501953125,79.6875,-5631.72509765625,21264860.0
53,1109.46526937046,2828.533447265625,80.6640625,-5298.2099609375,20308790.0
54,1105.865859375,3051.457763671875,78.125,-5899.111328125,22808260.0
55,1109.3913268321512,2654.82861328125,82.6171875,-5025.7724609375,18380258.0
56,1110.7174851190475,2708.010498046875,82.03125,-5270.189453125,18961128.0
57,1108.649651092233,2845.241455078125,80.46875,-5841.61279296875,20499132.0
58,1108.322544642857,2706.0458984375,82.03125,-5575.2236328125,18956292.0
59,1107.9118984741783,2601.50439453125,83.203125,-5419.240234375,17798650.0
60,1105.0094295511221,3033.41552734375,78.3203125,-6221.5244140625,22612712.0
61,1107.77602905569,2827.1708984375,80.6640625,-5558.2607421875,20304178.0
62,1107.0551204819278,2791.8515625,81.0546875,-5319.326171875,19917010.0
63,1108.108178827751,2740.60400390625,81.640625,-5288.75146484375,19340386.0
64,1106.340269549763,2669.67919921875,82.421875,-4925.4599609375,18565968.0
65,1111.4785447761194,3021.12158203125,78.515625,-6109.92041015625,22430212.0
66,1106.466390160183,2409.23046875,85.3515625,-4258.86669921875,15674409.0
67,1106.5422097156397,2669.84521484375,82.421875,-5459.376953125,18565820.0
68,1109.2794027093596,2949.9365234375,79.296875,-6437.0166015625,21655080.0
69,1105.0044863861385,2981.292724609375,78.90625,-6157.05908203125,22032692.0
70,1106.1798192771084,2791.141845703125,81.0546875,-5585.9013671875,19914148.0
71,1109.9737589712918,2742.126220703125,81.640625,-5325.318359375,19342754.0
72,1108.3569394484412,2758.173828125,81.4453125,-4958.0439453125,19532342.0
73,1105.4201306413302,2686.29248046875,82.2265625,-5463.2744140625,18755814.0
74,1107.282731042654,2670.45556640625,82.421875,-5058.7431640625,18566492.0
75,1105.0185889929742,2581.724609375,83.3984375,-5648.8076171875,17598122.0
76,1106.6914154846336,2652.59814453125,82.6171875,-5252.66064453125,18372252.0
77,1110.6820652173913,2812.153564453125,80.859375,-5893.7470703125,20114050.0
78,1106.1544811320755,2634.7841796875,82.8125,-5226.5654296875,18178484.0
79,1108.3401785714286,2706.06005859375,82.03125,-5278.0263671875,18953068.0
80,1107.3279789719627,2566.2822265625,83.59375,-5238.7236328125,17409100.0
81,1106.557831325301,2791.4482421875,81.0546875,-4823.1787109375,19913316.0
82,1107.936677631579,2740.46435546875,81.640625,-4624.1328125,19337490.0
83,1106.5549542682927,2878.29638671875,80.078125,-5793.03125,20876980.0
84,1107.2890625,2705.198486328125,82.03125,-4450.830078125,18950552.0
85,1110.0381690997567,2863.722412109375,80.2734375,-5510.2783203125,20690072.0
86,1109.0720693779904,2741.390625,81.640625,-4773.7607421875,19339050.0
87,1107.1204001168223,2566.10888671875,83.59375,-4543.14501953125,17407936.0
88,1108.845661764706,2619.64697265625,83.0078125,-4854.640625,17989094.0
89,1105.0014671361503,2599.0830078125,83.203125,-4645.298828125,17789124.0
90,1107.7551470588235,2618.74267578125,83.0078125,-4685.11181640625,17986948.0
91,1105.166910046729,2564.475341796875,83.59375,-4084.1552734375,17404110.0
92,1106.5562197336562,2826.186767578125,80.6640625,-4830.2041015625,20297688.0
93,1105.0373673349056,2633.85888671875,82.8125,-4347.0283203125,18174416.0
94,1106.9815476190477,2704.94580078125,82.03125,-4753.64501953125,18948968.0
95,1110.0051452784503,2828.968505859375,80.6640625,-4663.248046875,20303446.0
96,1104.4628220140514,2581.26171875,83.3984375,-4107.5009765625,17594754.0
97,1105.3080357142858,3068.39404296875,77.9296875,-5271.978515625,22993422.0
98,1107.559336419753,2965.9404296875,79.1015625,-5598.9443359375,21840534.0
99,1107.7868436754177,2722.974365234375,81.8359375,-4859.064453125,19142794.0
100,1107.0117464539007,2652.86376953125,82.6171875,-4469.7177734375,18370116.0
101,1105.7807971014493,2808.189453125,80.859375,-4589.2978515625,20102452.0
102,1106.9092039800994,3017.5341796875,78.515625,-4670.091796875,22417492.0
103,1104.4797661870505,2755.015625,81.4453125,-4280.52392578125,19521934.0
104,1110.1990284222738,2516.59326171875,84.1796875,-4014.7822265625,16834040.0
105,1106.6705398383372,2478.8837890625,84.5703125,-4126.4013671875,16441761.0
106,1110.6958667048054,2412.83984375,85.3515625,-3738.494384765625,15678436.0
107,1110.4612756264237,2377.9150390625,85.7421875,-4057.1474609375,15292512.0
108,1107.5769567757009,2566.48974609375,83.59375,-4401.8740234375,17407122.0
109,1109.7621112440193,2741.953857421875,81.640625,-4784.826171875,19338240.0
110,1104.974287014563,2842.2841796875,80.46875,-4316.3984375,20486104.0
111,1104.4821110451308,2685.521484375,82.2265625,-5083.4365234375,18750434.0
112,1109.4385103926097,2481.224365234375,84.5703125,-3727.699462890625,16446638.0
113,1103.7376720183486,2424.276611328125,85.15625,-4046.99609375,15857396.0
114,1106.1407683486239,2426.3232421875,85.15625,-4371.9130859375,15861972.0
115,1103.1088947990543,2649.638671875,82.6171875,-4207.0673828125,18362096.0
116,1106.258025568182,2356.9404296875,85.9375,-3929.96728515625,15091206.0
117,1108.2183077830189,2636.4931640625,82.8125,-4620.0654296875,18178564.0
118,1108.587043042453,2636.798828125,82.8125,-4156.244140625,18179128.0
119,1108.4920287810385,2306.76171875,86.5234375,-3924.958984375,14517195.0
120,1105.2141203703704,2495.0244140625,84.375,-3789.25146484375,16631030.0
121,1107.7082594562648,2653.439208984375,82.6171875,-4354.8935546875,18370414.0
122,1105.1393779342723,2599.197998046875,83.203125,-4561.990234375,17787128.0
123,1108.361168032787,2584.51220703125,83.3984375,-4254.36767578125,17600420.0
124,1104.0170588235294,2615.63916015625,83.0078125,-3991.56494140625,17977792.0
125,1109.3865407673861,2759.01220703125,81.4453125,-5088.1181640625,19529372.0
126,1106.6786877962086,2669.95849609375,82.421875,-4281.0048828125,18560696.0
127,1110.0713443396226,2638.0283203125,82.8125,-4740.51953125,18181498.0
128,1108.7722077546296,2498.0263671875,84.375,-4539.8544921875,16637342.0
129,1105.8618902439025,2877.74072265625,80.078125,-4870.80126953125,20871890.0
130,1106.9454941860465,2531.2236328125,83.984375,-3874.999755859375,17019094.0
131,1109.4963400900901,2290.2666015625,86.71875,-3751.114013671875,14325950.0
132,1106.3775743707095,2409.154296875,85.3515625,-4168.421875,15668916.0
133,1105.0588102409638,2790.232666015625,81.0546875,-4226.408203125,19906680.0
134,1104.830185851319,2755.301025390625,81.4453125,-4843.08203125,19520776.0
135,1107.1900979809977,2687.748046875,82.2265625,-4367.87109375,18754044.0
136,1107.1708431603774,2635.6259765625,82.8125,-4379.5009765625,18175852.0
137,1106.4901315789473,2409.250244140625,85.3515625,-3787.923828125,15669004.0
138,1107.9864761613692,2896.8095703125,79.8828125,-4329.6728515625,21068112.0
139,1110.1135442643392,3037.413330078125,78.3203125,-5344.14111328125,22613606.0
140,1108.4170644391409,2723.489501953125,81.8359375,-4506.130859375,19141432.0
141,1106.1251502403845,2773.7265625,81.25,-4418.02294921875,19715638.0
