step,AvgRoutedR,AvgR,AvgRouted%,ActorLoss,BaselineLoss
0,1101.586171875,3048.1142578125,78.125,3838.03759765625,15129768.0
1,1105.21203125,3050.947265625,78.125,3816.259033203125,14872213.0
2,1096.9790157004832,2801.07275390625,80.859375,3464.752685546875,13418826.0
3,1098.7734375,3045.91748046875,78.125,3744.017333984375,14266112.0
4,1099.2862877833754,3098.4697265625,77.5390625,3616.587646484375,14365338.0
5,1100.8467487373737,3117.061279296875,77.34375,3770.868408203125,14632931.0
6,1097.793244949495,3114.69970703125,77.34375,3775.724365234375,15213237.0
7,1100.3314462560386,2803.783203125,80.859375,3817.35546875,15857243.0
8,1101.1424542682928,2873.96142578125,80.078125,3508.29931640625,16407952.0
9,1098.1931540342298,2888.986328125,79.8828125,3100.269287109375,13400690.0
10,1099.3712377149877,2924.695556640625,79.4921875,2821.22509765625,13477463.0
11,1100.5184624697335,2821.316650390625,80.6640625,3413.55517578125,16293827.0
12,1096.5003048780488,2870.24462890625,80.078125,3233.0546875,15513139.0
13,1097.6897956161138,2662.54931640625,82.421875,3074.609375,15377856.0
14,1098.6763392857142,2941.52880859375,79.296875,2385.905517578125,13315720.0
15,1099.9654287439614,2803.48779296875,80.859375,2776.275390625,14986519.0
16,1098.5124378109454,3010.94091796875,78.515625,2522.177734375,13921672.0
17,1098.9065462085307,2663.551513671875,82.421875,2575.58447265625,16184211.0
18,1097.9483343160377,2627.98828125,82.8125,2767.82275390625,15672509.0
19,1100.3636568509614,2769.0458984375,81.25,2572.208740234375,15770714.0
20,1098.3828835227273,2350.17333984375,85.9375,2892.172119140625,16531322.0
21,1104.1411924939466,2824.239013671875,80.6640625,2919.400390625,17407966.0
22,1100.6342165898618,2456.39697265625,84.765625,2468.36962890625,15717459.0
23,1099.4338714454977,2663.98681640625,82.421875,2570.974853515625,15678063.0
24,1098.588061097257,3028.385986328125,78.3203125,2474.95849609375,14915346.0
25,1098.097628281623,2715.04443359375,81.8359375,2400.798583984375,15375040.0
26,1100.3400692840646,2473.52978515625,84.5703125,2530.58837890625,16529831.0
27,1100.8980704697988,2230.6669921875,87.3046875,2549.255126953125,16684547.0
28,1098.6830975750577,2472.12841796875,84.5703125,2573.34912109375,15844475.0
29,1100.6446759259259,2491.168701171875,84.375,2556.839599609375,16698301.0
30,1097.435326738609,2749.2783203125,81.4453125,2525.376953125,16004813.0
31,1098.001640811456,2714.966552734375,81.8359375,2540.89111328125,15800851.0
32,1100.2450697815534,2838.478271484375,80.46875,2470.785888671875,16467655.0
33,1098.864058924485,2402.741455078125,85.3515625,2391.772705078125,15549048.0
34,1102.4960572429907,2562.24267578125,83.59375,2452.970458984375,16639322.0
35,1101.1827205882353,2613.28662109375,83.0078125,2323.067138671875,15838730.0
36,1098.9198275862068,2437.559326171875,84.9609375,2421.964599609375,15637917.0
37,1098.2263773696682,2662.99169921875,82.421875,2392.068115234375,15517968.0
38,1096.8676512557079,2383.6484375,85.546875,2496.39306640625,17211758.0
39,1098.0097383720931,2523.719482421875,83.984375,2616.867919921875,17177942.0
40,1100.6762728832953,2404.2880859375,85.3515625,2806.635498046875,17019440.0
41,1098.0711009174313,2419.450927734375,85.15625,2483.214599609375,16994030.0
42,1099.5519376456878,2542.3984375,83.7890625,2636.303955078125,16769619.0
43,1096.4166417464114,2731.05908203125,81.640625,2378.326904296875,15071888.0
44,1101.066012880562,2578.427734375,83.3984375,2360.685302734375,16490144.0
45,1098.3187356651376,2419.662109375,85.15625,2590.219970703125,17707730.0
46,1098.6817318925234,2559.05419921875,83.59375,2295.513427734375,16238008.0
47,1097.746203271028,2558.2724609375,83.59375,2224.167236328125,14742682.0
48,1098.2328629032259,2454.36181640625,84.765625,2433.241455078125,16630767.0
49,1098.260613207547,2628.2470703125,82.8125,2350.658935546875,15845682.0
50,1094.7293346774193,2451.3916015625,84.765625,2499.899169921875,16832948.0
51,1094.1948784722222,2485.72705078125,84.375,2539.076904296875,16539632.0
52,1097.7117005813955,2523.468994140625,83.984375,2212.408203125,16221853.0
53,1097.5030147058824,2610.232177734375,83.0078125,2387.34130859375,16774093.0
54,1097.05346132287,2244.69873046875,87.109375,2546.498779296875,16821892.0
55,1096.1345663265306,2330.8505859375,86.1328125,2442.930419921875,16518658.0
56,1097.5979403409092,2349.49853515625,85.9375,2564.411865234375,16561989.0
57,1097.434685334873,2471.072509765625,84.5703125,2391.70556640625,16232202.0
58,1095.0229820627803,2242.9306640625,87.109375,2553.161376953125,17423286.0
59,1095.8803146258504,2330.631103515625,86.1328125,2452.45947265625,17465816.0
60,1096.5001395089287,2209.43798828125,87.5,2805.7939453125,17788822.0
61,1098.8162219101123,2263.61962890625,86.9140625,2519.50732421875,16927518.0
62,1096.779768623025,2296.6279296875,86.5234375,2413.337646484375,15881853.0
63,1098.5296016483517,2089.513671875,88.8671875,2473.148193359375,15865066.0
64,1096.6099355381166,2244.3125,87.109375,2841.38134765625,17624982.0
65,1096.4714265046296,2487.6474609375,84.375,2707.575439453125,17754660.0
66,1097.2348294183446,2227.468505859375,87.3046875,2783.57275390625,18073182.0
67,1095.409943181818,2347.6181640625,85.9375,2767.673095703125,17416534.0
68,1096.9953368596882,2192.482421875,87.6953125,2502.164794921875,17268860.0
69,1097.038683920705,2105.577392578125,88.671875,3257.560546875,19365630.0
70,1094.9969938478748,2225.515625,87.3046875,2828.499755859375,17871370.0
71,1097.0350167410713,2209.9052734375,87.5,3018.53515625,19470084.0
72,1096.477329799107,2209.41796875,87.5,2847.930908203125,16901190.0
73,1097.2159463894968,2053.569580078125,89.2578125,2786.713623046875,18332762.0
74,1096.0827814569536,2122.11962890625,88.4765625,3293.50634765625,20636774.0
75,1098.538070712695,2193.835693359375,87.6953125,2969.730224609375,17204304.0
76,1099.2024515086207,1933.6522216796875,90.625,2896.49609375,17485604.0
77,1095.585486111111,2173.8544921875,87.890625,3157.708740234375,19750006.0
78,1096.260463800905,2313.56884765625,86.328125,2828.648681640625,17010736.0
79,1097.5865066225165,2123.45068359375,88.4765625,2891.380126953125,17301912.0
80,1096.4168682795698,1913.7381591796875,90.8203125,3059.241943359375,18659568.0
81,1096.9678472222222,2175.06982421875,87.890625,3080.019287109375,17641246.0
82,1096.1668669871794,1861.340087890625,91.40625,3138.931396484375,18631424.0
83,1095.810597826087,2000.142333984375,89.84375,2679.35302734375,15546995.0
84,1097.797539893617,1828.056396484375,91.796875,3015.51025390625,18296486.0
85,1093.1823937908496,2015.1763916015625,89.6484375,3046.930908203125,18561478.0
86,1094.501965835141,1981.5728759765625,90.0390625,2929.159423828125,18382612.0
87,1096.0871784116332,2226.466796875,87.3046875,2626.213134765625,16730933.0
88,1094.5413019693653,2051.18212890625,89.2578125,3006.331787109375,17786756.0
89,1094.3080456570156,2190.125244140625,87.6953125,2875.865234375,17683622.0
90,1095.325080299786,1877.962158203125,91.2109375,3038.3125,18864732.0
91,1099.2117980561554,1951.0450439453125,90.4296875,2954.276123046875,19653030.0
92,1099.9165296052631,2073.36328125,89.0625,2791.74462890625,18189516.0
93,1097.3210851648353,2088.439697265625,88.8671875,2598.619873046875,17340212.0
94,1096.6767429193899,2018.30908203125,89.6484375,2657.5791015625,17338460.0
95,1097.7212063318777,2036.63330078125,89.453125,2698.397705078125,17822944.0
96,1094.5746076839828,1964.2449951171875,90.234375,2640.301513671875,17710480.0
97,1092.8795780254777,1806.1448974609375,91.9921875,2822.70751953125,19016566.0
98,1095.3174582463466,1669.2523193359375,93.5546875,3028.831787109375,19898998.0
99,1096.5904211956522,2000.8427734375,89.84375,2707.124755859375,18364844.0
100,1094.0609642094016,1859.4150390625,91.40625,2838.255615234375,17930458.0
101,1094.8366913377192,2068.83837890625,89.0625,2833.495849609375,18322654.0
102,1093.9838752665246,1841.94970703125,91.6015625,2705.01611328125,18581498.0
103,1095.4410451680671,1721.5428466796875,92.96875,3238.139404296875,19636910.0
104,1093.3367153679653,1963.1279296875,90.234375,3046.220458984375,18767830.0
105,1095.9158809267242,1930.6737060546875,90.625,2869.509033203125,18566344.0
106,1092.1507196162047,1840.2708740234375,91.6015625,3044.5859375,19144874.0
107,1092.7916666666667,1649.4925537109375,93.75,3031.321533203125,19490626.0
108,1093.0826226012794,1841.1240234375,91.6015625,2748.1875,17427788.0
109,1093.1186717118999,1667.1949462890625,93.5546875,2797.312255859375,17996824.0
110,1093.0096821581196,1858.4541015625,91.40625,2743.986328125,17349024.0
111,1096.8072361407249,1844.536376953125,91.6015625,2817.413818359375,19758246.0
112,1094.6383835758836,1633.8306884765625,93.9453125,2867.108642578125,19138148.0
113,1091.2051949786326,1856.8048095703125,91.40625,2532.60693359375,17389600.0
114,1096.6043841336118,1670.455810546875,93.5546875,2963.591552734375,19628076.0
115,1092.4401096033403,1666.559814453125,93.5546875,2807.360107421875,18700280.0
116,1091.8391736401675,1683.396240234375,93.359375,2855.855224609375,18844094.0
117,1094.8211956521739,1999.254150390625,89.84375,2475.264892578125,17710918.0
118,1096.9609375,1653.400634765625,93.75,2674.91064453125,17994948.0
119,1094.0062235169491,1789.7874755859375,92.1875,2722.7421875,18704970.0
120,1093.301994680851,1823.92919921875,91.796875,2578.217041015625,17742740.0
121,1091.448340471092,1874.426513671875,91.2109375,2814.03955078125,18778686.0
122,1093.3404811715482,1684.79833984375,93.359375,2478.145751953125,18214692.0
123,1093.7481382978724,1824.33935546875,91.796875,2775.156982421875,19499866.0
124,1092.824452457265,1858.2850341796875,91.40625,2380.55078125,17016442.0
125,1090.83125,1821.661376953125,91.796875,2600.84716796875,18396330.0
126,1093.4862659235669,1806.7027587890625,91.9921875,2280.644287109375,17260896.0
127,1093.8276991614255,1702.648193359375,93.1640625,2489.908935546875,17715172.0
128,1092.6711783439491,1805.95361328125,91.9921875,2374.077880859375,18010570.0
129,1093.0852697649573,1858.5230712890625,91.40625,2461.5205078125,17406412.0
130,1095.516555851064,1825.962646484375,91.796875,2510.857421875,18961782.0
131,1095.1060126582279,1756.01611328125,92.578125,2440.639404296875,18082508.0
132,1093.7438021920668,1667.779541015625,93.5546875,2583.193115234375,19011514.0
133,1092.3541666666667,1544.6954345703125,94.921875,2455.47021484375,17918890.0
134,1092.765560165975,1614.67333984375,94.140625,2440.30029296875,19042832.0
135,1095.1176819620252,1756.027587890625,92.578125,2436.125,18782170.0
136,1094.599686847599,1668.58056640625,93.5546875,2351.96484375,17470246.0
137,1093.6457243723848,1685.0830078125,93.359375,2434.057373046875,18620086.0
138,1094.9344736842106,1738.4647216796875,92.7734375,2382.732177734375,18949066.0
