step,AvgRoutedR,AvgR,AvgRouted%,ActorLoss,BaselineLoss
0,1142.99235,9584.828125,4.6875,372.4898682,1148493.25
1,1141.540009,9429.044922,6.4453125,548.6860962,1655282.5
2,1151.489618,9343.275391,7.421875,596.9619751,1894105.75
3,1142.68256,9411.818359,6.640625,661.6870117,2022830.375
4,1131.335464,9428.386719,6.4453125,554.4394531,1759830.125
5,1143.550586,9308.089844,7.8125,660.1322632,2261349.5
6,1151.49042,9274.145508,8.203125,607.8757324,2024723
7,1157.154741,9240.068359,8.59375,726.4663086,2441627
8,1148.960379,9273.938477,8.203125,556.1339111,2041426.875
9,1139.363932,9376.986328,7.03125,440.1008911,1727777.125
10,1146.272615,9342.886719,7.421875,454.4567871,1622817
11,1151.057292,9377.808594,7.03125,326.9287415,1618937.125
12,1154.018454,9498.958008,5.6640625,247.1824036,1406548.5
13,1139.733518,9290.486328,8.0078125,368.9440308,1745279.75
14,1142.396662,9429.099609,6.4453125,340.4131775,1629472.75
15,1146.019345,9273.696289,8.203125,281.4086304,1600213
16,1146.872547,9256.475586,8.3984375,411.759613,2131335
17,1144.953536,9342.789063,7.421875,318.6691589,1892033.75
18,1153.048878,9326.111328,7.6171875,403.7260742,1725010.5
19,1166.545072,9327.139648,7.6171875,316.4526367,1919115
20,1146.996745,9481.269531,5.859375,287.8970337,1459035.25
21,1145.366365,9342.820313,7.421875,310.3467407,1650802
22,1132.894326,9341.894531,7.421875,338.2218323,1842523.75
23,1145.24686,9117.983398,9.9609375,661.9428101,2730854.5
24,1142.566176,9411.811523,6.640625,257.0630493,1572826.875
25,1144.310628,9169.779297,9.375,414.3151855,2116117
26,1149.105686,9377.671875,7.03125,337.1420898,1725327.75
27,1152.153269,9343.324219,7.421875,450.0203247,2121514
28,1152.519238,9308.791016,7.8125,373.1112061,1864979.25
29,1151.895932,9084.083008,10.3515625,491.9864502,2582920.5
30,1157.411246,9257.361328,8.3984375,317.2463684,1794017.125
31,1146.367543,9239.140625,8.59375,362.8529663,1939745
32,1149.188151,9170.236328,9.375,459.848999,2135468.5
33,1146.320499,9273.72168,8.203125,375.9081421,1959800.75
34,1152.787584,9360.650391,7.2265625,432.9779968,2032888.75
35,1148.423971,9291.182617,8.0078125,377.3352051,1785298.125
36,1140.960178,9377.098633,7.03125,332.4833374,1805165
37,1135.345476,9255.507813,8.3984375,418.631897,2092222.625
38,1152.834034,9326.094727,7.6171875,370.4894714,2088394.75
39,1153.965225,9291.625977,8.0078125,464.3667908,2156642.5
40,1143.093171,9532.936523,5.2734375,235.4927368,1266950.5
41,1142.512674,9221.509766,8.7890625,367.3035278,1956524.25
42,1156.41748,9170.914063,9.375,399.4956665,2493549.5
43,1155.802989,9205.404297,8.984375,416.7377319,2028053.375
44,1159.862707,9412.959961,6.640625,301.6350708,1575798.625
45,1151.760785,9205.041016,8.984375,504.8187256,2283049.75
46,1147.251674,9152.763672,9.5703125,413.8321838,2014385
47,1145.084691,9187.146484,9.1796875,397.1119995,2463704.25
48,1130.644055,9289.758789,8.0078125,494.3325806,2355322.5
49,1138.466797,9238.461914,8.59375,375.4343872,2183614.5
50,1142.787207,9308.030273,7.8125,451.3651123,2300737
51,1141.345117,9307.917969,7.8125,505.9031982,2285408.5
52,1136.59185,9359.480469,7.2265625,399.9586792,1840329.25
53,1144.923238,9256.311523,8.3984375,502.5534973,2098761
54,1151.163377,9014.875,11.1328125,699.2730103,3198679.5
55,1148.320728,9187.443359,9.1796875,471.0935669,2243646.5
56,1143.294046,8996.701172,11.328125,709.1428833,3013772.5
57,1149.512671,9291.269531,8.0078125,574.8201904,2420506.25
58,1143.389172,9256.183594,8.3984375,410.7325134,2019016.5
59,1161.400716,9171.380859,9.375,446.9817505,2216051.5
60,1138.844383,9359.642578,7.2265625,539.2263184,1893967.125
61,1157.066193,9050.076172,10.7421875,729.630127,2920082.5
62,1140.87729,8996.427734,11.328125,692.3000488,2881163
63,1146.706553,9152.712891,9.5703125,616.303833,2601925.5
64,1141.250239,9152.19043,9.5703125,599.8364258,2460001
65,1149.098072,9187.515625,9.1796875,472.9858398,2367039
66,1154.770883,9101.65625,10.15625,624.7711792,2466075.25
67,1142.268029,9325.290039,7.6171875,481.1212158,1895413.75
68,1144.791091,9100.642578,10.15625,695.505127,2885085
69,1149.25647,8893.657227,12.5,762.5130615,3261954.25
70,1145.88519,8806.769531,13.4765625,820.9594727,3472542.5
71,1153.868379,8980.621094,11.5234375,755.8200073,3179814.25
72,1141.777868,8840.818359,13.0859375,742.5661011,3199951
73,1139.315727,9203.922852,8.984375,507.7182007,2220283
74,1144.48,9135.203125,9.765625,576.5098877,2607027.5
75,1148.814198,9204.776367,8.984375,545.3970947,2353881.25
76,1140.281409,9152.097656,9.5703125,460.7102966,2097860.25
77,1142.851016,9135.044922,9.765625,566.5605469,2402452
78,1145.232881,8823.976563,13.28125,819.7017822,3291913
79,1148.499617,9118.308594,9.9609375,692.0174561,2718920
80,1141.24064,9082.980469,10.3515625,743.9832764,2930101
81,1144.632031,9135.21875,9.765625,513.3383789,2329790
82,1150.099724,9118.466797,9.9609375,599.7265625,2638658
83,1144.138359,9135.169922,9.765625,631.0748291,2747639.5
84,1152.472324,9187.824219,9.1796875,558.4998779,2450409
85,1144.367911,9066.007813,10.546875,686.784729,2955725
86,1150.111431,9343.171875,7.421875,437.1081848,2035017
87,1149.733557,9256.71582,8.3984375,434.2158203,2221474.5
88,1144.656666,9187.107422,9.1796875,584.0931396,2398788.5
89,1140.253096,9082.87793,10.3515625,609.7666016,2665567.5
90,1145.484375,9239.06543,8.59375,405.6228027,2143843
91,1140.506781,9082.904297,10.3515625,604.8466797,3074246.5
92,1149.526088,9031.978516,10.9375,642.0498047,2943389.5
93,1153.238735,9257.009766,8.3984375,419.0658569,2423198
94,1149.992365,9239.453125,8.59375,388.862793,2120097
95,1142.074049,9204.169922,8.984375,604.9855957,2822568
96,1146.684989,9031.668945,10.9375,616.3325195,3040769.25
97,1152.832031,9308.814453,7.8125,400.4091797,2244677.25
98,1132.091589,9185.954102,9.1796875,476.5566101,2395513.25
99,1138.019265,9238.423828,8.59375,403.3587646,2399416.5
100,1137.446359,9030.658203,10.9375,501.1611938,2727211
101,1149.913125,9135.733398,9.765625,512.9589844,2520927.75
102,1146.128551,9048.900391,10.7421875,539.6349487,2481587.5
103,1148.157837,8893.519531,12.5,797.06604,3636384.25
104,1144.713967,9152.521484,9.5703125,550.0335693,2620313.75
105,1148.156321,9049.118164,10.7421875,581.6895752,3174398
106,1146.069353,9014.308594,11.1328125,745.7959595,3145975
