step,AvgRoutedR,AvgR,AvgRouted%,ActorLoss,BaselineLoss
0,1156.44401,9689.09375,3.515625,-87885.21094,96530936
1,1188.055439,9776.258789,2.5390625,-87759.29688,97496024
2,1147.81665,9723.369141,3.125,-84897.33594,96915112
3,1150.457589,9637.03125,4.1015625,-82433.24219,95951352
4,1169.339164,9603.310547,4.4921875,-82169.39063,95567560
5,1162.70625,9654.792969,3.90625,-80135.90625,96144656
6,1159.468061,9412.933594,6.640625,-77881.89844,93446464
7,1193.033954,9552.771484,5.078125,-80573.39844,94991704
8,1162.082157,9464.891602,6.0546875,-77868.71875,94024352
9,1155.883438,9568.158203,4.8828125,-77534.26563,95179264
10,1156.074079,9516.347656,5.46875,-77139.60938,94600888
11,1159.669316,9499.27832,5.6640625,-75966.20313,94408360
12,1164.530273,9585.836914,4.6875,-78086.32813,95372016
13,1148.245924,9602.363281,4.4921875,-73795.61719,95562616
14,1162.696573,9464.928711,6.0546875,-72639.85938,94022480
15,1165.209834,9603.125,4.4921875,-75368.48438,95563792
16,1159.670247,9378.414063,7.03125,-73595.96875,93058048
17,1154.093853,9343.467773,7.421875,-71878.48438,92671200
18,1150.654297,9446.916016,6.25,-71616.20313,93826784
19,1144.247734,9567.589844,4.8828125,-71688.17188,95174616
20,1141.727445,9463.65918,6.0546875,-71364.57813,94017344
21,1158.16569,9378.308594,7.03125,-71055.125,93056024
22,1163.787988,9309.670898,7.8125,-71364.21875,92286024
23,1141.274919,9498.236328,5.6640625,-75197.71875,94401624
24,1157.680051,9257.382813,8.3984375,-71417.35938,91705920
25,1149.510016,9325.841797,7.6171875,-67584.28125,92474720
26,1149.938532,9083.879883,10.3515625,-67391.09375,89776352
27,1143.348418,9290.775391,8.0078125,-68928.8125,92087392
28,1150.945103,9032.134766,10.9375,-65476.89844,89197664
29,1146.038261,9325.576172,7.6171875,-68293.60938,92472320
30,1140.199514,9082.87207,10.3515625,-66128.375,89772128
31,1152.615007,9256.958008,8.3984375,-66635.66406,91701808
32,1153.571372,8980.587891,11.5234375,-65775.46875,88618352
33,1140.245768,9169.398438,9.375,-65829.65625,90734496
34,1146.417659,8910.594727,12.3046875,-61832.55078,87844664
35,1148.673483,9118.324219,9.9609375,-63472.75,90157160
36,1139.097935,9273.128906,8.203125,-61574.70313,91889072
37,1139.252604,8961.630859,11.71875,-62051.86328,88419432
38,1141.762255,9117.636719,9.9609375,-62420.05469,90154048
39,1147.773936,9187.393555,9.1796875,-63055.94531,90925584
40,1143.851929,8892.981445,12.5,-60748.31641,87648168
41,1144.740154,8737.433594,14.2578125,-57453.52344,85913184
42,1147.442313,9031.751953,10.9375,-61399.30469,89189312
43,1141.398552,8823.466797,13.28125,-57842.96094,86875024
44,1149.621014,9152.991211,9.5703125,-58660.625,90537744
45,1138.169855,8996.121094,11.328125,-57220.21875,88800288
46,1143.32476,8875.617188,12.6953125,-56078.38281,87451952
47,1132.379548,8839.588867,13.0859375,-55185.74219,87062592
48,1144.986637,9014.1875,11.1328125,-55369.57813,88993264
49,1148.628032,8841.714844,13.0859375,-54691.35938,87066808
50,1141.862873,8840.830078,13.0859375,-54729.96094,87063952
51,1147.044067,8893.380859,12.5,-56600.00391,87643496
52,1144.433259,8789.277344,13.671875,-54273.73438,86485968
53,1135.165565,8649.498047,15.234375,-52678.23438,84939848
54,1147.81577,8513.109375,16.796875,-52283.50781,83403080
55,1152.430018,8773.09082,13.8671875,-53372.51563,86293728
56,1150.996354,8703.759766,14.6484375,-52565.38281,85522488
57,1148.95141,8582.449219,16.015625,-52716.50781,84172248
58,1140.968277,8287.023438,19.3359375,-49256.89063,80892520
